Id,HitboxActive,FirstActionableFrame,BaseDamage,Angle,BaseKnockBackSetKnockback,LandingLag,AutoCancel,KnockbackGrowth,Type,Name,OwnerId,LastModified
2675,"11-12","57","3","366/110/95","W: 70/100/110","","","100",1,"Usmash (Hit 1)",48,11/13/2016 09:53:21
2676,"15-16","-","3","160/240/95","W: 50/40/90","","","100",1,"Usmash (Hit 2)",48,11/13/2016 09:53:21
2677,"19-20","-","3","366/240/95","W: 50/40/90","","","100",1,"Usmash (Hit 3)",48,11/13/2016 09:53:21
2678,"23-24","-","3","366/366/95","W: 50/50/80","","","100",1,"Usmash (Hit 4)",48,11/13/2016 09:53:21
2679,"27-28","-","6","80","50","","","150",1,"Usmash (Hit 5)",48,11/13/2016 09:53:21
2680,"9-10","45","10","31","70","","","46",1,"Dsmash (Hit 1)",48,11/13/2016 09:53:21
2681,"17-18","-","12","31","70","","","48",1,"Dsmash (Hit 2)",48,11/13/2016 09:53:21
2683,"16-25","70","","","","","","",1,"Standing Grab",48,11/13/2016 09:53:21
2684,"16-26","68","","","","","","",1,"Dash Grab",48,11/13/2016 09:53:21
2685,"17-28","84","","","","","","",1,"Pivot Grab",48,11/13/2016 09:53:21
2687,"-","-","9","42","60","","","55",3,"Fthrow",48,11/13/2016 09:53:22
2688,"-","-","8","40","60","","","55",3,"Bthrow",48,11/13/2016 09:53:22
2689,"-","-","1&#37;&#215;5, 4","90","80","","","70",3,"Uthrow",48,11/13/2016 09:53:22
2690,"-","-","6","80","80","","","50",3,"Dthrow",48,11/13/2016 09:53:22
2696,"8-11","46","10","32","40","16","1-7, 35&gt;","100",0,"Nair (Hit 1)",48,11/13/2016 09:53:22
2697,"16-17","-","9","45","40","-","-","100",0,"Nair (Hit 2)",48,11/13/2016 09:53:22
2698,"18-24","-","8","45","10","-","-","98",0,"Nair (Hit 2, Late)",48,11/13/2016 09:53:22
2699,"6-7","60","3","80/280/60","W: 15","24","47&gt;","100",0,"Fair (Hit 1)",48,11/13/2016 09:53:22
2700,"12-13, 18-19, 24-25","-","1.6","366/18","W: 30","-","-","100",0,"Fair (Hit 2-4)",48,11/13/2016 09:53:22
2701,"30-31","-","5","361","40","-","-","140",0,"Fair (Hit 5)",48,11/13/2016 09:53:22
2702,"9-10","39","12/14","361","30/42","18","1-8, 42&gt;","98",0,"Bair",48,11/13/2016 09:53:22
2703,"11-14","-","9","361","20","-","-","90",0,"Bair (Late)",48,11/13/2016 09:53:22
2704,"5-6","40","3","90/90/361","W: 30/30/0","12","1-4, 34&gt;","100/100/130",0,"Uair (Hit 1)",48,11/13/2016 09:53:22
2705,"8-9, 11-12, 14-15, 17-18","-","1","80","W: 30/30/0","-","-","100/100/130",0,"Uair (Hit 2-5)",48,11/13/2016 09:53:22
2706,"20-21","-","4","70","40","-","-","160",0,"Uair (Hit 6)",48,11/13/2016 09:53:22
2707,"17-18","49","10","361","25","20","1-3, 34&gt;","100",0,"Dair (Early)",48,11/13/2016 09:53:22
2708,"19-21","-","14","270","25","-","-","85",0,"Dair (Meteor)",48,11/13/2016 09:53:22
2709,"22-23","-","11","361","25","-","-","100",0,"Dair (Late)",48,11/13/2016 09:53:22
2710,"8-17","60","1.5","45","30","8","-","30",0,"Zair (Hit 1)",48,11/13/2016 09:53:22
2711,"16-17","","3","45","30","-","-","100",0,"Zair (Hit 2)",48,11/13/2016 09:53:22
2712,"Can Shoot From: 16, Full Charge: 140","54","3","361","14","","","42",2,"Charge Shot",48,11/13/2016 09:53:22
2713,"16-84","61","25","40","30","","","62",2,"Charge Shot (Full Charge)",48,11/13/2016 09:53:22
2714,"18-118","57","5","0","26","","","22",2,"Homing Missile",48,11/13/2016 09:53:22
2715,"21-84","59","10","65","50","","","65",2,"Super Missile",48,11/13/2016 09:53:22
2716,"5-6 (Intangible: 3-6)","-","2","95","W: 180/180/120/120","","","100",2,"Screw Attack (Ground, Hit 1)",48,11/13/2016 09:53:22
2717,"7-8, 9-10, 11-12","-","1","96","W: 178/178/140","","","100",2,"Screw Attack (Ground, Hits 2-4)",48,11/13/2016 09:53:22
2718,"13-14, 15-16, 17-18, 19-20, 21-22, 23-24","-","1","110/110/100","W: 50/50/80","","","100",2,"Screw Attack (Ground, Hits 5-10)",48,11/13/2016 09:53:22
2719,"25-26","-","1","70","50","","","240",2,"Screw Attack (Ground, Hit 11)",48,11/13/2016 09:53:22
2720,"5-6, 7-8, 9-10 (Intangible: 3-5)","-","1","140/140/110/110","25/25/100/100","","","0",2,"Screw Attack (Air, Hits 1-3)",48,11/13/2016 09:53:22
2721,"11-12, 13-14, 15-16, 17-18","-","1","366/366/100","B: 25/25 W: 50","","","0/0/100",2,"Screw Attack (Air, 4-7)",48,11/13/2016 09:53:22
2722,"19-20, 21-22, 23-24, 25-26","-","1","366/366/100","B: 25/25 W: 50","","","0/0/100",2,"Screw Attack (Air, 8-11)",48,11/13/2016 09:53:22
2723,"27-28","-","1","70","50","","","240",2,"Screw Attack (Air, Hit 12)",48,11/13/2016 09:53:22
2724,"63-80","54","4","361","22","","","45",2,"Bomb",48,11/13/2016 09:53:22
2725,"1-18","-","5","361","15","","","45",2,"Bomb (Explosion)",48,11/13/2016 09:53:22
2726,"2-3","18","2","70","W: 10","","","100",1,"Jab 1",49,11/13/2016 09:53:23
2727,"2-4","18","3","70","20","","","40",1,"Jab 2",49,11/13/2016 09:53:23
2728,"9, 13, 17, 21, 25...","-","?","?","?","","","?",1,"Rapid Jab",49,11/13/2016 09:53:23
2729,"5-6","53","3","40","60","","","115",1,"Rapid Jab Finisher",49,11/13/2016 09:53:23
2730,"5-6","41","6.5 (+1)","60","70","","","90",1,"Dash Attack",49,11/13/2016 09:53:23
2731,"7-8","-","4.5 (+1)","361","20","","","100",1,"Dash Attack (Late)",49,11/13/2016 09:53:23
2732,"5-8","25","4","84/86/78","20","","","158/158/165",1,"Ftilt",49,11/13/2016 09:53:23
2733,"5-8","36","5","0/330/75","W:30/28/40","","","80",1,"Utilt (Hit 1)",49,11/13/2016 09:53:23
2734,"19-23","-","6","60","20","","","125",1,"Utilt (Hit 2)",49,11/13/2016 09:53:24
2735,"5-6","30","5","70/70/90","35","","","80",1,"Dtilt",49,11/13/2016 09:53:24
2736,"12","51","5","26/45/80","W: 62/47/45","","","100",1,"Fsmash (Hit 1)",49,11/13/2016 09:53:24
2737,"26-27","-","8","361","60","","","109",1,"Fsmash (Hit 2)",49,11/13/2016 09:53:24
2738,"11 (Head and Arms Intangible: 8-15)","53","15","93","50","","","86",1,"Usmash (Hit 1)",49,11/13/2016 09:53:24
2739,"14-15","-","11","50","38","","","100",1,"Usmash (Hit 2)",49,11/13/2016 09:53:24
2740,"11-12","55","3","140","W: 35","","","100",1,"Dsmash (Hit 1)",49,11/13/2016 09:53:24
2741,"18-19","-","6","48","35","","","155",1,"Dsmash (Hit 2)",49,11/13/2016 09:53:24
2743,"6-7","28","","","","","","",1,"Standing Grab",49,11/13/2016 09:53:24
2744,"8-9","35","","","","","","",1,"Dash Grab",49,11/13/2016 09:53:24
2745,"9-10","33","","","","","","",1,"Pivot Grab",49,11/13/2016 09:53:24
2747,"-","-","5, 2","72","80","","","79",3,"Fthrow",49,11/13/2016 09:53:24
2748,"-","-","5, 2","120","90","","","50",3,"Bthrow",49,11/13/2016 09:53:24
2749,"-","-","3, 2","85","80","","","60",3,"Uthrow",49,11/13/2016 09:53:24
2750,"-","-","3, 3","77","80","","","90",3,"Dthrow",49,11/13/2016 09:53:24
2756,"3-6","50","8/8/7","361","20","10","1-2, 31&gt;","100",0,"Nair",49,11/13/2016 09:53:24
2757,"7-30","-","5/5/4","361","20","-","-","100",0,"Nair (Late)",49,11/13/2016 09:53:24
2758,"5-7","35","4.3/5","50","40","10","1-4, 11&gt;","132",0,"Fair",49,11/13/2016 09:53:24
2759,"4-6","38","7/7/8","361","30","12","1-3, 31&gt;","100",0,"Bair",49,11/13/2016 09:53:24
2760,"7-14","-","5","361","10","-","-","101",0,"Bair (Late)",49,11/13/2016 09:53:24
2761,"4-15 (Rehit rate: 4)","44","1","90/366","30","21","1-3, 47&gt;","100",0,"Uair",49,11/13/2016 09:53:24
2762,"23-24","-","4","80","50","-","-","138",0,"Uair (Final Hit)",49,11/13/2016 09:53:24
2763,"15-18","55","8","280","30","30","1-2, 53&gt;","90",0,"Dair",49,11/13/2016 09:53:24
2764,"19-33","-","8","70","30","-","-","105",0,"Dair (Late)",49,11/13/2016 09:53:24
2765,"1-2","-","2","40","40","-","-","150",0,"Dair (Landing)",49,11/13/2016 09:53:24
2766,"Generates Needles on: 1, 26, 44, 62, 80, 98","-","-","-","-","","","-",2,"Needle Storm",49,11/13/2016 09:53:24
2767,"11, 14, 17, 20, 23, 26","54","-","-","-","","","-",2,"Needle Storm (6 Needles, Thrown On)",49,11/13/2016 09:53:24
2768,"5, 7, 9, 11, 13","48","-","-","-","","","-",2,"Needle Storm (1-5 Needles, Thrown On)",49,11/13/2016 09:53:24
2769,"1-3","-","1.9","60","0","","","180",2,"Needle Storm (Hitboxes)",49,11/13/2016 09:53:24
2770,"4-10","-","1.2","60","0","","","180",2,"Needle Storm (Hitboxes, Late)",49,11/13/2016 09:53:24
2771,"15-","81","-","-","-","","","-",2,"Burst Grenade (Thrown)",49,11/13/2016 09:53:24
2772,"28-48","40","?","?","?","","","?",2,"Burst Grenade (Detonation)",49,11/13/2016 09:53:24
2773,"49-","-","12","?","?","","","?",2,"Burst Grenade (Explosion)",49,11/13/2016 09:53:24
2774,"36-38 (Intangible: 19-53)","-","12","55","50","","","102",2,"Vanish",49,11/13/2016 09:53:25
2775,"55-57","-","5/0","45/361","W: 80/50","","","100",2,"Vanish (Reappear)",49,11/13/2016 09:53:25
2776,"17-24 (Intangible: 3-4)","-","12","361","26","","","90",2,"Bouncing Fish (Earliest)",49,11/13/2016 09:53:25
2777,"26-33 (Intangible: 3-4)","-","12","361","26","","","90",2,"Bouncing Fish (Latest)",49,11/13/2016 09:53:25
2778,"5-6","26","3.5","70/60/88","W: 40","","","100",1,"Jab 1",50,11/13/2016 09:53:25
2779,"5-7","34","3.5","66/70/80","W: 52","","","100",1,"Jab 2",50,11/13/2016 09:53:25
2780,"12-13","45","5.3","50","60","","","100",1,"Jab 3",50,11/13/2016 09:53:25
2781,"14","-","4.2","70","70","","","100",1,"Jab 3 (Late)",50,11/13/2016 09:53:25
2782,"15-16","53","11.5","60","70","","","80",1,"Dash Attack",50,11/13/2016 09:53:25
2783,"12-13","44","13.5/13.5/13.5/12","361","30","","","92",1,"Ftilt",50,11/13/2016 09:53:25
2784,"11-12","40","8.5","85","70","","","90",1,"Utilt",50,11/13/2016 09:53:26
2785,"13-23","-","8.5/8.5/7.5/7.5","85/85/108/108","70/70/65/65","","","90/90/85/85",1,"Utilt (Late)",50,11/13/2016 09:53:26
2786,"10-11","32","9.5/9.5/9.5/7.5","60","45","","","90",1,"Dtilt",50,11/13/2016 09:53:26
2787,"14-16","68","5.5","78/10/40","W: 28","","","100",1,"Fsmash (Hit 1, Angled Up)",50,11/13/2016 09:53:26
2788,"23","-","13/11.5","361","30","","","125",1,"Fsmash (Hit 2, Angled Up)",50,11/13/2016 09:53:26
2789,"14-15","68","5.5","78/10/40","W: 28","","","100",1,"Fsmash (Hit 1)",50,11/13/2016 09:53:26
2790,"23","-","13/11.5","361","30","","","115",1,"Fsmash (Hit 2)",50,11/13/2016 09:53:26
2791,"14-16","68","5.5","78/10/40","W: 28","","","100",1,"Fsmash (Hit 1, Angled Down)",50,11/13/2016 09:53:26
2792,"23","-","13/11.5","361","30","","","115",1,"Fsmash (Hit 2, Angled Down)",50,11/13/2016 09:53:26
2793,"18-21 (Ground only)","68","4.5","105","110","","","100",1,"Usmash (Hit 1)",50,11/13/2016 09:53:26
2794,"18-29","-","4.5","92","70/60","","","40/100",1,"Usmash (Hit 1)",50,11/13/2016 09:53:26
2795,"30-33","-","13.5","89","45","","","98",1,"Usmash (Hit 2)",50,11/13/2016 09:53:26
2796,"18-19","83","14/14/14/11","361/45/55/361","50","","","95",1,"Dsmash (Hit 1)",50,11/13/2016 09:53:26
2797,"23-24","-","12/12/12/10","361/45/55/361","50","","","95",1,"Dsmash (Hit 2)",50,11/13/2016 09:53:26
2798,"28-29","-","10/10/10/8","361/45/55/361","55","","","90",1,"Dsmash (Hit 3)",50,11/13/2016 09:53:26
2799,"35-36","-","8/8/8/6","361/361/361/361","60","","","90",1,"Dsmash (Hit 4)",50,11/13/2016 09:53:26
2800,"41-42","-","6/6/6/4","361/361/361/361","60","","","90",1,"Dsmash (Hit 5)",50,11/13/2016 09:53:26
2802,"7-8","30","","","","","","",1,"Standing Grab",50,11/13/2016 09:53:26
2803,"9-10","37","","","","","","",1,"Dash Grab",50,11/13/2016 09:53:26
2804,"10-11","35","","","","","","",1,"Pivot Grab",50,11/13/2016 09:53:26
2806,"-","-","3, 8","45","60","","","70",3,"Fthrow",50,11/13/2016 09:53:26
2807,"-","-","3, 9","135","70","","","63",3,"Bthrow",50,11/13/2016 09:53:26
2808,"-","-","3, 4","88","60","","","80",3,"Uthrow",50,11/13/2016 09:53:26
2809,"-","-","3, 4","50","75","","","115",3,"Dthrow",50,11/13/2016 09:53:26
2815,"13-30","71","7.5/7.5/8.5","50","40","10","80&gt;","100",0,"Nair",50,11/13/2016 09:53:26
2816,"14-18","42","8/8/6.5","361","46","16","57&gt;","100",0,"Fair",50,11/13/2016 09:53:26
2817,"18-20","55","12.5","361","35","19","79&gt;","100",0,"Bair",50,11/13/2016 09:53:26
2818,"21-22","-","12.5/8.5","361","35","-","-","100",0,"Bair (Late)",50,11/13/2016 09:53:26
2819,"14-15","60","5.5","100/96","W: 80/60","15","79&gt;","100",0,"Uair (Hit 1)",50,11/13/2016 09:53:26
2820,"24-25","-","10.5/8","88","55","-","-","100",0,"Uair (Hit 2)",50,11/13/2016 09:53:26
2821,"14-15","61","6/7.5","172/160","W: 20","23","78&gt;","100",0,"Dair (Hit 1)",50,11/13/2016 09:53:26
2822,"23-24","-","11.5/11.5/10.5","270/361/361","10/10/55","-","-","90/85/85",0,"Dair (Hit 2)",50,11/13/2016 09:53:26
2823,"Intangible: 1-14","6","-","-","-","","","-",2,"Monado Arts Activation",50,11/13/2016 09:53:27
2824,"960 Frames (16 seconds)","-","-","-","-","","","-",2,"Monado Arts Duration",50,11/13/2016 09:53:27
2825,"600 Frames (10 seconds)","-","-","-","-","","","-",2,"Monado Arts Cooldown",50,11/13/2016 09:53:27
2826,"22-","-","10/9/16/14 (+7)","361/361/140/140","30","","","100",2,"Backslash",50,11/13/2016 09:53:27
2827,"1-2","41","10/9/15/13 (+10)","361/361/140/140","25","","","100",2,"Backslash (Landing)",50,11/13/2016 09:53:27
2828,"10-11","-","6","78/91/85","W: 140/135/100","","","100",2,"Air Slash (Hit 1, Early)",50,11/13/2016 09:53:27
2829,"12-14","-","5","85/86","W: 80/78","","","100",2,"Air Slash (Hit 1)",50,11/13/2016 09:53:27
2830,"15-17","-","5","52/70","W: 43","","","100",2,"Air Slash (Hit 1, Late)",50,11/13/2016 09:53:27
2831,"15-16","-","5.5","48","35","","","170",2,"Air Slash (Hit 2)",50,11/13/2016 09:53:27
2832,"Counters: 7-41 (Intangible: 6-7, Air: 7-8)","70","-","-","-","","","-",2,"Vision",50,11/13/2016 09:53:27
2833,"Counters: 7-30 (Intangible: 6-7, Air: 7-8)","70","-","-","-","","","-",2,"Vision (Depreciated)",50,11/13/2016 09:53:27
2834,"Counters: 7-22 (Intangible: 6-7, Air: 7-8)","70","-","-","-","","","-",2,"Vision (Depreciated)",50,11/13/2016 09:53:27
2835,"Counters: 7-17 (Intangible: 6-7, Air: 7-8)","70","-","-","-","","","-",2,"Vision (Depreciated)",50,11/13/2016 09:53:27
2836,"Counters: 7-13 (Intangible: 6-7, Air: 7-8)","70","-","-","-","","","-",2,"Vision (Depreciated)",50,11/13/2016 09:53:27
2837,"Counters: 7-11 (Intangible: 6-7, Air: 7-8)","70","-","-","-","","","-",2,"Vision (Depreciated)",50,11/13/2016 09:53:27
2838,"45-46 (Intangible: 1-45)","97","10/7 (1.3&#215;)","50","70","","","84",2,"Vision (Grounded, Attack)",50,11/13/2016 09:53:27
2839,"45-46 (Intangible: 9-44)","97","10/7 (1.3&#215;)","50","70","","","84",2,"Vision (Aerial, Attack)",50,11/13/2016 09:53:27
2840,"29-30 (Intangible: 1-36)","65","13/10 (1.3&#215;)","50","70","","","94",2,"Vision (Forward Attack)",50,11/13/2016 09:53:27
2841,"3","20","2","92/60/361","W: 18","","","100",1,"Jab 1",51,11/13/2016 09:53:28
2842,"2-3","22","2","80/60/48","W: 18","","","100",1,"Jab 2",51,11/13/2016 09:53:28
2843,"4-6","36","4","50","50","","","110",1,"Jab 3",51,11/13/2016 09:53:28
2844,"5-15 (Rehit rate: 4)","62","1","0","60","","","40/20",1,"Dash Attack",51,11/13/2016 09:53:28
2845,"17-20","-","3","70","80","","","125",1,"Dash Attack (Final Hit)",51,11/13/2016 09:53:28
2846,"6","36","4","28","60","","","70",1,"Ftilt (All Angles, Hit 1)",51,11/13/2016 09:53:28
2847,"8-11","-","7/5/5","361","30","","","115",1,"Ftilt (All Angles, Hit 2)",51,11/13/2016 09:53:28
2848,"7","40","2","96","W: 100","","","100",1,"Utilt (Hit 1)",51,11/13/2016 09:53:28
2849,"8-9","-","2","96/90/365/365","W: 100/60/35/12","","","100",1,"Utilt (Hit 1, Late)",51,11/13/2016 09:53:28
2850,"18-19","-","6","78","40","","","120",1,"Utilt (Hit 2)",51,11/13/2016 09:53:28
2851,"6-7","28","6","361","30","","","80",1,"Dtilt",51,11/13/2016 09:53:28
2852,"18-20","48","14","361","30","","","101",1,"Fsmash (All Angles)",51,11/13/2016 09:53:28
2853,"19 (Intangible: 18-20)","66","5","80/90","60","","","85",1,"Usmash (Hit 1)",51,11/13/2016 09:53:28
2854,"21, 23, 25, 27, 29, 31","-","1","220/220/130/130","W: 60","","","100",1,"Usmash (Hits 2-7)",51,11/13/2016 09:53:28
2855,"33-34","-","3","82","80","","","165",1,"Usmash (Hit 8)",51,11/13/2016 09:53:28
2856,"12-13","55","12","30","55/50","","","63/80",1,"Dsmash",51,11/13/2016 09:53:28
2858,"6-7","31","","","","","","",1,"Standing Grab",51,11/13/2016 09:53:28
2859,"10-11","38","","","","","","",1,"Dash Grab",51,11/13/2016 09:53:28
2860,"10-11","37","","","","","","",1,"Pivot Grab",51,11/13/2016 09:53:28
2862,"-","-","1, 6","70","100","","","70",3,"Fthrow",51,11/13/2016 09:53:28
2863,"-","-","7","140","70","","","79",3,"Bthrow",51,11/13/2016 09:53:28
2864,"-","-","1, 6","92","92","","","80",3,"Uthrow",51,11/13/2016 09:53:28
2865,"-","-","1&#37;&#215;3, 4","20","80","","","35",3,"Dthrow",51,11/13/2016 09:53:28
2871,"6-9","50","12","75","30","16","48&gt;","80",0,"Nair (Early)",51,11/13/2016 09:53:28
2872,"10-19","-","8","75","20","-","-","85",0,"Nair",51,11/13/2016 09:53:29
2873,"20-38","-","5","75","20","-","-","90",0,"Nair (Late)",51,11/13/2016 09:53:29
2874,"5, 7, 9, 11, 13","46","0.8","130/60/56/340","W: 30","26","1-2, 34&gt;","100",0,"Fair (Hits 1-5)",51,11/13/2016 09:53:29
2875,"15","-","3","361","60","-","-","135",0,"Fair (Hit 6)",51,11/13/2016 09:53:29
2876,"13-17","38","14/14/10/10","361","30/30/40/40","30","1-4, 33&gt;","90/90/100/100",0,"Bair",51,11/13/2016 09:53:29
2877,"5-7","40","3","100/100/118/118","W: 90/90/120/120","21","1-4, 16&gt;","100",0,"Uair (Hit 1)",51,11/13/2016 09:53:29
2878,"14-15","-","6","91","66","-","-","82",0,"Uair (Hit 2)",51,11/13/2016 09:53:29
2879,"17-18","46","8","70","80","38","1-3, 41&gt;","70",0,"Dair (Early)",51,11/13/2016 09:53:29
2880,"19-22","-","8","70/285","80/30","-","-","70/90",0,"Dair",51,11/13/2016 09:53:29
2881,"23-32","-","7","70","80","-","-","70",0,"Dair (Late)",51,11/13/2016 09:53:29
2882,"22-","-","5","55","45","","","90",2,"Homing Attack (Earliest)",51,11/13/2016 09:53:29
2883,"34-","79","12","55","45","","","90",2,"Homing Attack (No Input)",51,11/13/2016 09:53:29
2884,"Duration: 235 Frames","-","-","-","-","","","-",2,"Spring Jump (Grounded)",51,11/13/2016 09:53:29
2885,"4- (Intangible: 5-13)","19","4","361","30","","","90",2,"Spring Jump (Aerial)",51,11/13/2016 09:53:29
2886,"17-","-","7","70","70","","","46",2,"Spin Dash",51,11/13/2016 09:53:29
2887,"1- (Intangible: 1-6)","-","7","70","70","","","46",2,"Spin Dash (Release)",51,11/13/2016 09:53:29
2888,"1- (Rehit rate: 2)","-","-","-","-","","","-",2,"Spin Charge (Release)",51,11/13/2016 09:53:29
2889,"6-7","20","3","50/80/88","35/25/W: 26","","","34/34/100",1,"Jab 1",52,11/13/2016 09:53:30
2890,"6-7","21","2","60/82/100","22","","","20",1,"Jab 2",52,11/13/2016 09:53:30
2891,"6-10","37","4","48","55","","","100",1,"Jab 3",52,11/13/2016 09:53:30
2892,"9-11","40","8/8/6","65","70","","","70",1,"Dash Attack",52,11/13/2016 09:53:30
2893,"9-13","34","9","361/20/20","25","","","102",1,"Ftilt",52,11/13/2016 09:53:30
2894,"8-12","26","5","95/85/105","30","","","140",1,"Utilt",52,11/13/2016 09:53:30
2895,"9-10","23","7","361","30","","","88",1,"Dtilt",52,11/13/2016 09:53:30
2896,"15-17","49","10","75/55/47/40","49/54/56/60","","","10",1,"Fsmash (Hit 1)",52,11/13/2016 09:53:30
2897,"12-14","50","11","40","32/32/25","","","130",1,"Fsmash (Hit 2)",52,11/13/2016 09:53:30
2898,"11","43","13","100/96/96","43","","","94",1,"Usmash (Early)",52,11/13/2016 09:53:30
2899,"12-13","-","13","96","30/43/43","","","93/94/94",1,"Usmash",52,11/13/2016 09:53:30
2900,"14-17","-","10","96","30/43/43","","","93/94/94",1,"Usmash (Late)",52,11/13/2016 09:53:30
2901,"9-10","50","7/6/6","70/170/168","40/W: 60/140","","","100",1,"Dsmash (Hit 1)",52,11/13/2016 09:53:30
2902,"17-18","-","7","50","60","","","130",1,"Dsmash (Hit 2)",52,11/13/2016 09:53:30
2904,"12-18","62","","","","","","",1,"Standing Grab",52,11/13/2016 09:53:30
2905,"14-20","72","","","","","","",1,"Dash Grab",52,11/13/2016 09:53:30
2906,"15-21","72","","","","","","",1,"Pivot Grab",52,11/13/2016 09:53:30
2908,"-","-","3, 4","45","60","","","110",3,"Fthrow",52,11/13/2016 09:53:30
2909,"-","-","7","130","60","","","120",3,"Bthrow",52,11/13/2016 09:53:30
2910,"-","-","5, 2","92","25","","","220",3,"Uthrow",52,11/13/2016 09:53:30
2911,"-","-","3, 4","110","60","","","110",3,"Dthrow",52,11/13/2016 09:53:30
2917,"6-7","42","8.5","361","20","12","1-2, 41&gt;","100",0,"Nair (Hit 1)",52,11/13/2016 09:53:30
2918,"13-14","-","7","361","20","-","-","100",0,"Nair (Hit 2)",52,11/13/2016 09:53:30
2919,"14-15","39","13","361","35","18","1-3, 51&gt;","98",0,"Fair",52,11/13/2016 09:53:30
2920,"7-9","46","11","60","18","17","38&gt;","117",0,"Bair",52,11/13/2016 09:53:31
2921,"11-13","60","14","80","25","21","1-5, 47&gt;","95",0,"Uair",52,11/13/2016 09:53:31
2922,"14-40","-","11","80","25","-","-","95",0,"Uair (Late)",52,11/13/2016 09:53:31
2923,"17-25","80","16","268","40","40","1-5, 65&gt;","80",0,"Dair",52,11/13/2016 09:53:31
2924,"26-64","-","12","50","40","-","-","100",0,"Dair (Late)",52,11/13/2016 09:53:31
2925,"1-4","-","5","30","20","-","-","100",0,"Dair (Landing)",52,11/13/2016 09:53:31
2926,"1 (Ground Only)","-","0","0","W: 58/35","-","-","100",0,"Dair (Landing, Windbox)",52,11/13/2016 09:53:31
2927,"11-20","75","4","45","60","8","-","30",0,"Zair",52,11/13/2016 09:53:31
2928,"18-","42","4","361","8","","","50",2,"Hero's Bow (No Charge)",52,11/13/2016 09:53:31
2929,"61-","85","5","361","8","","","50",2,"Hero's Bow (Full Charge)",52,11/13/2016 09:53:31
2930,"27-35","46","8","70","50","","","50",2,"Boomerang",52,11/13/2016 09:53:31
2931,"36-","-","5","65","50","","","50",2,"Boomerang (Late)",52,11/13/2016 09:53:31
2932,"9-17 (Rehit rate: 4)","81","1","180/180/180/80","W: 50/50/50/10","","","100",2,"Spin Attack (No Charge)",52,11/13/2016 09:53:31
2933,"18-49 (Rehit rate: 5)","-","1","180/180/180/80","W: 40/40/30/10","","","100",2,"Spin Attack (No Charge)",52,11/13/2016 09:53:31
2934,"51","-","3","55","70","","","141",2,"Spin Attack (No Charge, Final Hit)",52,11/13/2016 09:53:31
2935,"8-10","-","4","366","W: 90","","","100",2,"Spin Attack (Air, Hit 1)",52,11/13/2016 09:53:31
2936,"16-18","-","2","366","W: 88","","","100",2,"Spin Attack (Air, Hit 2)",52,11/13/2016 09:53:31
2937,"22-24","-","2","366","W: 77","","","100",2,"Spin Attack (Air, Hit 3)",52,11/13/2016 09:53:31
2938,"31-33","-","2","85","W: 80","","","100",2,"Spin Attack (Air, Hit 4)",52,11/13/2016 09:53:31
2939,"44-48","-","4","45","40","","","170",2,"Spin Attack (Air, Hit 5)",52,11/13/2016 09:53:31
2940,"Bomb Generated: Frame 17","40","-","-","-","","","-",2,"Bomb",52,11/13/2016 09:53:31
2941,"Explodes 299 Frames from Generation","-","-","70","40","","","80",2,"Bomb",52,11/13/2016 09:53:31
2942,"3-4","22","3","60/80","10","","","80",1,"Jab 1",53,11/13/2016 09:53:32
2943,"3-4","24","3","60/80","20","","","120",1,"Jab 2",53,11/13/2016 09:53:32
2944,"14-19","55","10","70","65","","","60",1,"Dash Attack",53,11/13/2016 09:53:32
2945,"20-28","-","6","70","65","","","60",1,"Dash Attack (Late)",53,11/13/2016 09:53:32
2946,"8-11","37","9","361","30","","","90",1,"Ftilt",53,11/13/2016 09:53:32
2947,"7-20","50","6","105/105/96","W: 60/60/12","","","100",1,"Utilt (Hit 1)",53,11/13/2016 09:53:32
2948,"24-27","-","5","80","50","","","160",1,"Utilt (Hit 2)",53,11/13/2016 09:53:32
2949,"9-10","35","13/8","80/70","40","","","90",1,"Dtilt",53,11/13/2016 09:53:32
2950,"25-29","50","15","45","70","","","100",1,"Fsmash (Flat Ground)",53,11/13/2016 09:53:32
2951,"25-29","-","15","45","70","","","100",1,"Fsmash (Off Ledge)",53,11/13/2016 09:53:32
2952,"30-","-","17","45","70","","","100",1,"Fsmash (Off Ledge, Late)",53,11/13/2016 09:53:32
2953,"12-13","54","3","95","W: 140","","","100",1,"Usmash (Hit 1)",53,11/13/2016 09:53:32
2954,"17-18, 21-22, 25-26, 29-30","-","1","100","30","","","80",1,"Usmash (Hit 2-5)",53,11/13/2016 09:53:32
2955,"33-34","-","4","90","30","","","205",1,"Usmash (Hit 6)",53,11/13/2016 09:53:32
2956,"8","48","6","70","0","","","80",1,"Dsmash (Hit 1)",53,11/13/2016 09:53:32
2957,"9-10 (Ground Only)","-","3","70","0","","","50",1,"Dsmash (Hit 1, Late)",53,11/13/2016 09:53:32
2958,"29","-","6","70","0","","","80",1,"Dsmash (Hit 2)",53,11/13/2016 09:53:32
2959,"30-31 (Ground Only)","-","3","70","0","","","50",1,"Dsmash (Hit 2, Late)",53,11/13/2016 09:53:32
2961,"15-16","56","","","","","","",1,"Standing Grab",53,11/13/2016 09:53:32
2962,"16-17","70","","","","","","",1,"Dash Grab",53,11/13/2016 09:53:32
2963,"17-18","66","","","","","","",1,"Pivot Grab",53,11/13/2016 09:53:32
